typing_speed_wpm,avg_keystroke_interval_ms,backspace_ratio,pause_frequency_per_min,mouse_velocity_px_s,mouse_distance_px,click_frequency_per_min,idle_time_seconds,error_rate,response_time_seconds,retry_count,context_switches_per_min,cognitive_load
49.21,178.96,0.0244,3,379.76,1372.57,18.28,3.11,0.0533,4.28,1,1,0
57.77,109.65,0.0806,1,399.6,1175.26,6.35,3.94,0.0638,1.5,0,2,0
66.49,207.33,0.0267,4,463.61,1361.67,13.96,6.31,0.0624,3.91,2,0,0
37.66,285.21,0.1407,9,206.46,1984.12,23.44,12.95,0.1652,14.5,5,8,2
40.76,273.87,0.078,4,229.87,1879.97,29.76,12.91,0.1259,8.01,4,5,1
35.54,427.31,0.0598,9,109.56,2545.59,28.24,7.34,0.1918,14.16,5,8,2
43.18,361.97,0.2203,13,137.64,2097.22,20.41,14.27,0.2069,9.16,2,4,2
50.55,199.32,0.1098,4,266.24,1710.76,19.05,6.92,0.0709,10.55,0,2,1
73.0,217.17,0.0555,2,369.33,1259.88,22.7,4.38,0.0342,2.82,1,3,0
48.92,320.41,0.1303,2,304.72,1169.24,17.67,3.91,0.0421,5.67,1,6,1
39.56,212.83,0.0667,2,256.56,1588.1,32.28,6.7,0.0987,7.24,1,1,1
54.82,284.35,0.1275,9,381.75,1720.99,15.63,4.07,0.093,9.53,1,3,1
65.87,219.13,0.051,1,547.46,1048.0,11.12,6.48,0.0221,5.45,0,1,0
28.16,357.46,0.2231,12,234.41,2697.92,33.73,10.02,0.233,13.28,3,6,2
59.07,272.25,0.0695,3,430.76,1299.12,3.73,2.39,0.0929,3.26,1,0,0
50.65,182.09,0.0288,4,420.78,1713.19,8.06,5.89,0.0426,3.99,0,1,0
31.72,446.68,0.1166,9,113.99,2446.87,28.91,15.97,0.1671,15.12,5,6,2
55.82,182.53,0.0564,0,489.71,1147.1,17.45,4.42,0.0151,5.2,0,0,0
72.13,194.36,0.0613,2,430.59,1313.09,18.66,6.25,0.0359,4.47,0,1,0
43.35,273.77,0.1169,4,286.22,1479.57,24.82,2.46,0.129,7.69,2,6,1
65.73,129.25,0.0497,2,380.34,1448.13,4.2,1.06,0.0755,5.04,0,2,0
52.04,124.11,0.0424,2,401.68,1478.56,14.23,3.12,0.0597,4.92,1,1,0
82.31,189.78,0.0287,4,509.01,1519.78,15.7,4.06,0.0852,4.68,0,3,0
67.48,213.28,0.0785,0,489.53,1592.09,20.17,4.22,0.0384,5.69,1,3,0
44.58,218.98,0.064,7,364.53,1912.57,23.96,7.84,0.114,7.02,2,5,1
41.03,245.24,0.0914,5,334.92,2114.36,23.3,5.93,0.1398,11.62,2,4,1
29.5,286.02,0.0452,7,181.19,2013.36,32.68,9.08,0.2052,8.79,2,10,2
46.75,245.76,0.0657,1,510.53,1270.19,18.01,4.98,0.0426,4.31,0,1,0
28.2,360.85,0.19,7,218.09,1866.94,33.52,13.45,0.2879,8.31,2,4,2
47.01,335.08,0.1613,6,333.72,1904.49,29.51,9.54,0.1029,9.49,1,4,1
43.24,315.42,0.0684,4,276.01,1568.27,26.81,7.38,0.0781,7.61,2,5,1
45.0,350.37,0.2046,14,117.09,3150.62,34.44,10.44,0.165,17.75,4,7,2
74.54,204.02,0.0127,5,512.55,1776.26,13.31,5.82,0.055,3.21,1,2,0
34.72,302.82,0.2227,4,201.03,2429.45,26.61,15.64,0.1933,8.42,5,6,2
57.2,162.64,0.0455,3,469.92,1547.74,13.67,4.24,0.0347,4.16,0,6,0
32.33,224.02,0.1013,12,177.63,1797.61,29.88,11.91,0.1314,15.4,1,4,2
49.76,175.83,0.0583,3,279.83,1971.37,14.07,8.09,0.0708,6.85,2,5,1
70.32,163.21,0.0406,3,424.78,1422.98,19.14,5.56,0.0635,3.89,0,0,0
21.62,392.07,0.1942,13,183.44,2704.61,25.87,11.82,0.1185,17.0,2,9,2
36.87,231.03,0.1776,5,231.19,2438.61,16.19,9.33,0.1619,6.34,2,5,1
60.36,209.83,0.0302,5,525.88,1501.82,8.51,3.9,0.0532,4.12,0,1,0
66.8,215.91,0.04,3,566.34,1262.27,12.89,3.94,0.0341,3.96,1,7,0
52.77,165.79,0.0819,3,446.21,1014.35,12.61,1.54,0.0552,6.01,0,1,0
80.32,181.11,0.0005,4,315.11,1374.92,21.58,2.59,0.0496,4.52,1,2,0
60.15,198.85,0.0233,3,439.15,1002.74,13.82,3.31,0.0356,3.48,0,3,0
41.47,302.11,0.1412,11,188.18,1874.28,14.99,4.65,0.1431,10.78,1,2,1
43.81,239.45,0.1566,4,308.05,1526.01,17.29,4.5,0.0864,8.21,2,5,1
44.81,330.28,0.0522,5,380.5,2023.01,20.7,10.95,0.0406,6.61,2,6,1
66.1,344.25,0.1218,8,222.46,1798.41,18.11,8.75,0.0447,12.2,1,5,1
69.43,205.37,0.1196,4,343.18,1211.83,12.81,1.87,0.0647,4.07,0,1,0
56.91,249.15,0.1569,5,342.55,1219.7,17.49,9.38,0.1007,5.15,5,3,1
34.17,417.78,0.2301,8,213.41,2919.27,34.29,22.61,0.1555,14.09,5,4,2
39.08,333.28,0.1906,9,156.87,2664.08,32.06,15.77,0.2591,17.85,3,6,2
48.56,277.13,0.1052,3,263.62,1615.0,19.26,6.98,0.1178,7.63,2,2,1
60.57,258.09,0.0233,2,467.08,1161.57,16.12,3.24,0.0284,4.74,0,0,0
60.9,252.86,0.0808,4,385.03,1317.32,11.29,3.7,0.0012,3.8,1,1,0
21.33,403.81,0.1507,8,174.23,2429.63,38.38,8.56,0.0925,10.32,4,7,2
20.38,420.58,0.1042,12,243.63,2481.91,27.95,11.29,0.2709,11.0,3,10,2
22.26,375.29,0.2544,18,168.16,2856.57,30.81,17.09,0.2049,14.27,7,4,2
35.2,352.51,0.1587,13,171.04,2995.62,30.68,10.29,0.134,14.34,2,8,2
68.17,296.2,0.1317,4,369.55,2019.06,17.45,6.49,0.0751,7.27,1,4,1
43.57,262.78,0.1135,6,198.98,1213.51,20.6,3.53,0.0665,6.74,2,1,1
53.19,192.46,0.0442,3,382.98,1266.47,17.08,3.96,0.0277,8.2,0,3,0
56.62,154.64,0.0,6,307.61,1696.43,16.7,7.48,0.0752,7.58,1,3,1
21.9,274.38,0.3129,12,230.71,2800.53,37.1,16.47,0.1139,14.82,6,5,2
66.6,178.94,0.0394,3,304.39,1322.28,9.34,5.58,0.0545,4.19,1,1,0
29.46,331.56,0.2381,17,155.24,2332.32,31.7,7.35,0.2095,16.64,13,9,2
55.99,221.88,0.0353,10,352.94,1463.0,27.49,4.66,0.0791,9.24,0,2,1
27.65,466.05,0.2333,15,182.29,1857.72,22.38,14.57,0.2017,4.46,6,5,2
33.2,282.08,0.1169,8,200.01,2288.68,24.08,14.58,0.2399,22.17,1,12,2
69.95,203.54,0.0645,1,371.56,1363.25,13.09,1.0,0.0,4.14,0,1,0
30.76,311.77,0.1121,8,413.24,1535.23,16.37,12.47,0.073,8.39,5,3,1
34.98,281.39,0.2359,7,181.41,2878.25,23.72,8.38,0.1906,9.06,8,8,2
52.09,261.48,0.1618,5,259.84,1671.84,27.85,5.25,0.0903,3.22,3,4,1
50.3,225.75,0.1197,5,199.07,1844.62,17.86,5.61,0.079,5.9,4,7,1
79.51,187.0,0.0588,1,385.77,1445.02,12.25,5.45,0.0197,4.16,0,1,0
27.08,316.27,0.2669,8,182.9,2186.99,34.47,8.5,0.1158,17.5,4,7,2
29.79,353.97,0.1567,6,265.13,2422.72,23.21,6.14,0.1831,7.6,6,9,2
66.77,158.61,0.0241,0,427.07,1357.67,12.0,4.79,0.0635,6.07,0,1,0
54.82,251.63,0.0915,3,301.95,1830.2,17.42,6.32,0.1339,11.65,0,5,1
30.64,447.05,0.0505,9,239.89,1847.3,19.01,12.04,0.2306,4.91,2,4,2
56.8,215.93,0.073,3,376.84,761.68,11.35,2.42,0.0298,4.23,0,3,0
71.13,226.57,0.0529,1,303.22,1035.36,16.3,3.22,0.0155,4.08,0,0,0
42.07,245.06,0.041,6,285.46,1635.06,29.94,8.13,0.0966,7.41,2,6,1
34.81,203.81,0.1121,7,263.18,1418.59,23.17,13.06,0.1139,3.59,1,2,1
79.48,212.77,0.0174,2,454.46,1331.18,20.09,6.46,0.0181,4.05,0,2,0
56.95,261.92,0.0486,4,333.6,1406.86,19.3,13.4,0.0929,4.69,0,7,1
55.03,227.66,0.0432,5,417.25,818.39,20.09,0.34,0.0467,5.72,0,1,0
60.72,186.82,0.0165,3,461.89,1199.0,13.53,1.18,0.07,4.76,0,0,0
46.14,302.49,0.0713,8,342.38,1467.56,30.82,9.86,0.0727,8.42,2,3,1
38.63,368.9,0.253,14,265.93,2881.09,38.03,12.41,0.1672,10.53,1,5,2
58.08,209.37,0.1187,2,447.52,1709.83,11.99,1.69,0.0412,2.14,0,1,0
43.4,449.15,0.1877,9,182.0,1903.38,27.61,12.54,0.0602,14.61,1,9,2
34.88,418.3,0.1284,8,187.05,2094.73,23.2,13.67,0.2187,10.81,2,7,2
69.39,255.21,0.0653,4,254.19,1321.32,12.3,3.26,0.0473,4.26,0,2,0
31.48,323.26,0.2717,10,159.02,2610.99,27.37,9.27,0.1225,11.68,4,12,2
68.97,233.98,0.0281,5,459.72,870.7,8.81,2.07,0.0341,6.97,0,1,0
77.05,185.36,0.0616,2,263.14,1326.87,12.13,0.95,0.0366,4.07,0,2,0
44.47,292.43,0.0773,7,338.58,2031.67,19.48,2.48,0.0383,10.2,1,2,1
52.23,261.25,0.1394,6,326.42,2223.99,25.32,8.17,0.0871,6.03,1,2,1
23.63,352.08,0.2355,14,115.9,2948.3,21.72,8.16,0.1693,13.88,4,6,2
35.86,292.32,0.0827,6,445.17,1567.76,24.19,4.05,0.1141,6.32,0,4,1
90.32,233.08,0.0337,2,466.15,1022.35,12.07,4.36,0.0,6.79,0,2,0
63.75,322.98,0.1439,5,243.25,1818.38,22.69,9.59,0.0576,10.66,0,2,1
42.54,212.37,0.0713,4,331.68,1651.13,23.72,5.57,0.1369,7.71,3,3,1
30.99,394.18,0.2035,12,201.93,2511.6,23.25,5.69,0.1939,14.5,8,10,2
53.96,211.44,0.0255,5,217.98,1786.5,24.02,8.22,0.0516,9.85,4,4,1
75.88,156.79,0.0403,2,462.07,1130.72,14.56,4.54,0.0551,3.17,0,2,0
56.97,155.49,0.0655,2,371.28,1455.63,22.08,4.45,0.0147,4.65,0,1,0
67.77,174.99,0.0504,2,453.93,1107.82,15.94,3.58,0.0065,5.39,0,1,0
19.0,303.91,0.0831,10,279.12,2356.88,24.44,12.83,0.2426,8.44,2,4,2
46.6,200.21,0.1567,3,345.71,1647.63,23.71,11.37,0.1319,8.87,3,3,1
48.57,275.51,0.0501,4,242.3,1579.56,14.33,4.49,0.0972,7.11,1,4,1
38.01,257.88,0.0911,11,276.79,1653.33,22.32,5.2,0.1059,7.77,1,3,1
63.34,253.54,0.0696,2,308.79,783.09,11.08,3.61,0.0649,4.58,1,0,0
80.29,176.3,0.0417,2,325.98,726.51,18.5,3.38,0.0,3.96,2,1,0
55.16,184.31,0.0556,2,472.24,1483.34,15.6,3.28,0.054,4.57,1,0,0
65.65,227.85,0.0808,5,280.53,1459.24,26.02,7.16,0.1614,6.24,1,8,1
42.08,227.47,0.1182,5,243.98,1349.93,24.27,7.74,0.1333,9.57,1,2,1
25.5,415.24,0.2074,15,249.82,2062.86,22.56,18.13,0.1277,17.45,1,8,2
29.62,375.19,0.1311,12,153.79,2206.5,31.28,11.73,0.2043,11.91,5,7,2
71.83,256.71,0.0795,5,326.93,1725.25,16.47,12.38,0.1222,10.45,4,3,1
34.8,331.41,0.1401,8,197.05,2732.51,27.46,17.01,0.2389,11.82,6,7,2
47.01,372.67,0.2481,20,270.08,1948.47,23.73,16.17,0.1957,13.66,4,13,2
23.76,381.0,0.1167,10,151.06,2310.15,11.3,10.91,0.2306,16.93,2,7,2
63.37,195.81,0.0221,3,347.23,1002.87,20.45,2.66,0.0356,4.5,0,1,0
30.0,360.49,0.2328,16,258.24,2470.66,36.04,13.67,0.1556,10.67,7,8,2
18.84,452.24,0.1047,14,105.32,2260.52,26.17,19.05,0.2138,15.47,4,7,2
28.77,403.91,0.1832,8,143.79,2327.33,32.56,9.01,0.1508,11.75,5,10,2
78.41,223.2,0.0537,2,319.53,1784.76,19.61,4.31,0.0573,3.6,0,0,0
40.98,309.51,0.0,2,282.35,1538.98,30.0,9.76,0.089,6.38,3,3,1
39.02,436.64,0.1923,10,152.01,2074.94,33.22,16.83,0.2544,13.51,5,12,2
48.16,157.95,0.0586,3,471.12,1553.56,11.49,4.77,0.0199,4.39,1,0,0
48.64,215.0,0.2133,6,189.0,2174.35,23.67,16.8,0.1064,17.99,4,10,2
63.81,164.82,0.0753,0,366.4,1421.43,10.43,8.64,0.0384,2.67,0,3,0
37.42,270.61,0.0539,9,285.74,1186.03,17.06,10.21,0.0894,9.57,2,8,1
61.77,150.36,0.0,1,455.41,1369.0,13.46,1.37,0.0675,5.81,0,0,0
24.89,325.7,0.145,16,223.72,2178.2,25.01,14.21,0.2176,11.56,6,9,2
58.75,258.85,0.105,7,398.13,1506.81,19.83,9.87,0.054,7.46,1,1,1
49.78,442.66,0.2416,15,129.87,2496.09,30.07,13.54,0.1315,11.11,6,6,2
54.63,226.66,0.077,5,288.47,1917.54,13.62,12.95,0.0852,8.42,3,1,1
52.6,234.06,0.1365,5,352.13,1418.04,12.94,8.15,0.0642,6.32,1,2,1
59.25,186.19,0.0225,4,451.72,1492.51,11.81,6.11,0.0777,3.92,0,1,0
59.88,197.86,0.0584,3,489.14,798.61,17.48,4.88,0.0489,2.08,0,2,0
39.08,352.42,0.0955,6,362.06,1994.67,19.25,11.68,0.0961,5.08,2,4,1
45.17,189.43,0.024,7,357.56,1573.13,24.73,7.85,0.0698,4.94,2,1,1
74.04,225.63,0.0416,3,378.44,1599.66,18.85,4.1,0.018,3.75,0,0,0
26.3,382.86,0.1798,7,211.32,2474.81,27.85,8.25,0.1541,13.49,7,5,2
26.71,376.23,0.1568,12,222.8,2105.34,22.73,5.53,0.2147,14.83,6,6,2
63.34,196.31,0.0589,3,365.79,1541.99,9.86,7.49,0.0293,4.91,0,3,0
30.67,370.04,0.165,16,261.65,2356.87,25.91,13.04,0.143,11.41,4,6,2
29.54,396.72,0.1307,14,232.26,3020.15,20.4,14.42,0.215,13.33,4,5,2
54.45,321.52,0.1157,4,345.33,1566.83,22.42,8.93,0.1117,9.19,3,2,1
65.22,210.97,0.0249,4,462.24,759.05,6.22,3.52,0.0321,5.81,2,2,0
38.49,446.05,0.2249,9,242.69,2270.48,34.28,12.77,0.2442,11.11,4,7,2
64.51,298.51,0.1447,9,290.24,1807.69,20.28,0.29,0.0895,6.35,2,2,1
38.16,328.35,0.1851,10,253.32,2047.53,43.24,12.51,0.1435,11.64,4,7,2
62.13,267.2,0.07,7,339.61,1585.92,24.89,11.62,0.0532,6.01,0,8,1
64.47,129.19,0.0376,1,366.28,1400.3,17.99,2.26,0.0523,5.78,0,2,0
34.71,351.34,0.1468,4,280.03,1731.47,27.05,5.6,0.0772,6.12,2,5,1
66.14,155.23,0.0141,4,324.06,1403.66,21.74,3.01,0.0013,5.73,0,2,0
23.51,363.77,0.1339,10,193.01,1890.73,23.32,7.03,0.2991,11.5,5,16,2
36.41,213.06,0.1269,5,320.13,2137.4,28.93,8.3,0.1361,9.8,0,1,1
33.22,377.73,0.0861,21,250.29,2260.03,34.06,5.53,0.1835,16.2,3,7,2
69.87,242.17,0.0456,5,495.76,1410.85,12.25,2.32,0.0445,7.1,2,2,0
61.35,150.4,0.0956,3,304.34,1197.13,16.2,4.89,0.0336,7.01,4,3,0
66.14,163.95,0.0956,3,437.76,1398.06,17.76,4.51,0.0386,4.07,0,0,0
38.74,293.9,0.1277,12,156.38,2157.13,27.01,13.96,0.1645,7.42,3,17,2
43.63,269.85,0.0791,6,281.35,2058.87,27.22,5.25,0.0626,10.83,0,4,1
56.44,254.7,0.0585,4,253.55,1989.29,22.05,8.83,0.0634,7.31,1,4,1
51.2,179.09,0.0566,5,428.49,718.59,19.33,2.63,0.0006,7.12,0,0,0
43.0,178.53,0.1451,3,240.46,1561.84,28.2,11.12,0.1067,7.54,1,2,1
48.16,294.23,0.0986,6,270.2,1743.03,23.65,8.83,0.0236,5.95,3,5,1
94.79,153.94,0.0115,1,519.51,1241.5,16.2,6.64,0.0404,3.71,2,1,0
47.37,211.47,0.0958,4,430.4,1810.4,16.9,9.27,0.1136,6.74,6,3,1
38.93,387.25,0.0779,8,256.82,2349.81,25.26,5.95,0.1021,9.53,4,3,2
64.98,169.49,0.0171,3,463.72,1235.0,8.54,5.73,0.0314,6.2,1,0,0
23.58,321.32,0.206,9,196.92,3168.6,36.73,18.24,0.2487,8.7,6,13,2
68.92,149.03,0.0176,2,384.77,1422.15,22.22,4.11,0.0897,5.58,1,5,0
76.67,243.54,0.0672,2,454.9,1180.07,17.44,3.67,0.0573,1.47,1,0,0
36.18,247.54,0.1263,5,250.51,1781.83,28.56,4.29,0.1132,9.3,4,6,1
39.82,276.32,0.072,5,449.08,1906.49,30.54,9.3,0.0262,7.97,2,4,1
75.36,160.75,0.0601,0,391.74,1728.54,12.39,3.25,0.0231,4.25,1,3,0
33.38,281.21,0.144,9,256.9,1895.85,36.16,13.58,0.3125,15.29,4,8,2
43.84,252.99,0.0764,6,295.38,1817.59,19.7,5.63,0.0959,9.48,0,7,1
40.5,169.18,0.1266,10,322.28,1684.86,18.35,10.73,0.119,5.89,0,5,1
37.5,341.68,0.2373,10,239.75,3054.74,26.46,15.81,0.212,14.21,2,7,2
22.81,347.5,0.1406,8,151.57,2232.86,17.95,17.02,0.2198,14.55,4,8,2
53.92,203.06,0.0613,2,439.99,1217.46,8.97,2.96,0.0319,3.53,0,1,0
28.25,484.97,0.0224,7,187.86,2833.27,22.03,12.62,0.1658,12.17,7,6,2
31.76,374.09,0.1647,12,236.16,1964.27,35.51,18.47,0.1894,8.17,2,3,2
61.59,251.39,0.1364,11,365.33,1980.79,23.54,7.18,0.0769,6.02,1,6,1
45.78,248.26,0.1032,5,400.88,2206.57,26.57,7.46,0.09,9.03,1,4,1
26.38,362.9,0.1487,16,222.55,2740.24,26.91,2.62,0.2583,22.16,3,13,2
64.28,222.66,0.036,0,192.19,894.31,11.18,3.91,0.0055,4.35,0,1,0
61.8,172.8,0.045,3,440.45,781.52,17.88,1.79,0.0416,4.12,0,1,0
63.87,198.97,0.0569,5,487.66,1567.64,20.2,3.04,0.0795,3.33,0,3,0
67.32,162.48,0.0704,2,510.34,1279.02,11.48,2.92,0.0448,3.75,0,1,0
65.14,241.84,0.1343,5,323.3,1177.09,13.42,8.08,0.1131,7.36,2,4,1
22.85,355.24,0.0788,14,240.99,1969.42,16.01,7.73,0.1318,16.21,3,7,2
51.23,245.1,0.1126,5,395.57,2085.52,37.08,8.75,0.0195,9.42,2,3,1
41.29,264.31,0.1101,5,307.44,1805.56,27.08,6.11,0.0991,10.52,2,3,1
70.11,211.6,0.0189,0,434.16,1462.52,12.19,3.19,0.0255,3.87,1,2,0
31.6,421.47,0.2716,11,208.87,2437.61,44.12,18.21,0.1357,16.04,5,5,2
55.85,255.91,0.0894,5,341.22,1710.98,15.24,3.34,0.1059,7.87,1,5,1
53.65,198.34,0.051,3,309.17,1471.75,13.96,5.17,0.0745,3.86,1,1,0
51.69,209.54,0.0083,1,543.73,1455.31,13.14,5.22,0.0487,6.02,0,4,0
9.85,312.96,0.1731,8,199.28,2749.84,16.6,12.8,0.1468,12.56,3,2,2
44.93,231.99,0.1246,2,316.55,1607.4,15.0,7.29,0.0672,8.98,1,3,1
58.7,175.93,0.0337,3,529.07,844.9,16.17,5.32,0.0711,4.85,1,0,0
65.5,280.97,0.0768,7,313.04,1458.08,28.7,5.21,0.0858,6.96,2,4,1
52.14,340.3,0.1077,4,336.76,2119.5,22.03,11.14,0.0749,9.32,0,3,1
15.56,416.41,0.2472,6,193.51,1769.73,27.39,13.18,0.1215,16.96,3,4,2
48.81,227.97,0.0137,0,431.58,1111.49,16.27,2.68,0.0393,5.47,0,1,0
82.77,151.63,0.0404,2,379.66,1369.73,13.96,3.69,0.0575,4.56,0,3,0
54.15,199.08,0.0982,4,204.78,2356.06,26.93,7.91,0.0745,6.79,0,2,1
45.29,130.31,0.0665,4,428.82,1279.74,16.83,3.13,0.0114,5.41,0,3,0
35.07,222.26,0.1114,5,204.29,1716.58,12.85,9.64,0.091,7.81,2,4,1
34.85,411.33,0.1138,14,201.48,2330.19,31.61,15.23,0.2332,20.8,4,9,2
68.71,176.25,0.0392,2,392.86,1115.61,25.02,8.35,0.0554,2.78,0,1,0
23.18,315.24,0.1484,21,160.13,2907.59,36.76,8.28,0.2849,11.65,5,5,2
72.9,159.83,0.0542,2,453.6,1204.44,14.67,5.93,0.0468,4.15,0,3,0
21.63,370.15,0.1505,11,281.46,2360.27,33.99,5.49,0.1966,12.99,5,4,2
47.63,286.35,0.0963,6,250.64,1394.16,24.39,6.26,0.1411,10.23,0,3,1
77.07,233.15,0.0463,2,331.23,987.61,12.25,3.54,0.0173,4.96,0,1,0
63.11,139.61,0.0622,2,493.71,1024.63,20.12,5.67,0.0119,5.1,0,4,0
44.94,231.55,0.0933,5,265.93,1920.02,17.09,6.98,0.0484,8.05,0,2,1
57.53,135.36,0.0353,2,433.51,1519.17,23.67,2.31,0.0354,3.58,1,2,0
58.69,241.55,0.0,2,469.36,1658.46,11.05,3.6,0.0616,6.24,2,3,0
24.6,319.01,0.2047,10,209.7,2878.89,35.43,12.45,0.2147,9.14,3,5,2
50.75,277.17,0.117,5,326.22,1839.25,16.77,9.03,0.0757,8.63,0,6,1
46.02,163.04,0.0913,8,349.68,2366.71,25.06,1.52,0.0561,8.06,2,4,1
72.27,175.18,0.0972,3,452.87,1090.26,12.78,2.65,0.0318,3.09,1,3,0
61.57,228.93,0.1035,7,305.64,1468.25,26.77,5.2,0.1004,6.22,1,3,1
29.87,347.63,0.1056,16,203.72,2121.68,39.94,17.42,0.0896,12.17,3,6,2
32.84,305.89,0.0983,5,238.85,2997.68,32.69,18.68,0.1828,21.09,9,8,2
40.63,276.98,0.0263,3,292.8,1978.99,28.22,13.48,0.0618,4.88,0,4,1
37.2,343.56,0.2222,12,199.31,3105.01,33.64,8.93,0.1472,13.22,5,16,2
39.27,376.24,0.1512,7,186.57,2493.56,27.55,13.16,0.2085,8.37,3,6,2
21.08,400.53,0.2104,17,224.72,2094.28,26.28,7.55,0.2645,19.8,3,4,2
41.54,355.42,0.0583,6,278.4,1238.59,24.61,5.1,0.1245,7.61,4,0,1
49.41,284.52,0.1004,6,352.68,1673.43,31.47,6.55,0.0538,7.24,3,2,1
78.54,181.56,0.0496,1,426.56,1109.49,18.07,5.43,0.0193,5.27,0,1,0
42.0,207.64,0.1005,8,238.88,1978.52,31.08,7.55,0.0636,4.92,3,2,1
59.56,185.73,0.075,4,400.41,1289.53,17.99,4.16,0.0241,4.71,0,1,0
38.19,349.25,0.2616,8,184.88,3087.79,35.56,14.48,0.2184,18.49,5,7,2
34.99,315.9,0.1504,12,192.45,1686.8,17.68,19.44,0.254,12.71,5,11,2
29.84,337.15,0.2069,7,198.35,2677.44,36.73,5.49,0.2273,12.71,2,10,2
36.94,392.73,0.1647,10,150.0,1845.88,27.03,13.03,0.1816,13.94,4,10,2
75.2,169.69,0.0623,1,421.18,1515.89,14.42,4.69,0.0079,4.79,0,1,0
70.28,257.22,0.1846,6,324.72,1959.98,33.71,10.05,0.1007,4.53,5,2,1
49.73,290.86,0.0296,10,274.21,2251.85,22.58,8.16,0.0555,9.62,2,1,1
37.6,302.91,0.2036,8,184.82,2239.27,25.55,7.83,0.1966,13.54,1,4,2
51.89,179.83,0.022,1,392.96,1533.97,12.01,4.17,0.0419,4.89,0,1,0
56.04,287.07,0.0797,4,324.42,1628.63,21.67,10.32,0.1043,7.29,4,3,1
40.44,239.15,0.1502,6,323.28,1834.89,22.32,7.66,0.108,4.1,2,4,1
34.25,371.82,0.236,14,151.14,2280.73,29.94,6.95,0.1372,9.87,4,9,2
52.56,332.67,0.0023,8,288.14,2022.64,8.52,10.59,0.1239,10.31,2,2,1
70.5,194.42,0.061,5,431.04,1354.91,16.06,5.34,0.0218,4.58,1,2,0
75.59,136.36,0.0575,3,245.15,750.52,12.9,5.25,0.0526,5.78,2,3,0
46.85,236.24,0.0935,5,381.86,1999.62,27.36,8.13,0.1428,11.69,1,7,1
78.4,188.14,0.0385,2,501.45,1220.92,15.87,4.0,0.0,8.18,1,2,0
40.98,163.66,0.1041,3,289.7,1734.92,12.15,1.12,0.0064,3.59,0,1,0
65.66,190.59,0.0504,3,394.44,1171.77,20.04,3.71,0.0583,3.43,0,0,0
58.29,179.29,0.0534,0,437.8,1850.35,12.4,4.42,0.0294,5.04,1,0,0
56.21,165.61,0.1319,3,212.03,1526.99,20.06,5.44,0.0513,9.49,1,3,1
57.98,175.99,0.0652,0,304.05,1250.71,6.37,6.88,0.0171,5.01,0,1,0
31.04,321.72,0.2356,16,221.82,3047.18,30.81,13.88,0.1579,10.36,3,4,2
73.72,155.63,0.0439,2,464.89,856.7,16.12,1.99,0.0628,4.84,0,0,0
63.5,178.22,0.0587,1,361.2,1461.67,13.92,2.95,0.0296,4.12,0,2,0
24.86,320.17,0.1959,19,233.68,2029.5,30.35,11.11,0.1188,16.25,0,3,2
33.46,358.66,0.1441,13,98.65,2358.94,27.03,8.15,0.199,13.34,3,4,2
30.1,251.28,0.0946,7,274.81,1902.38,16.33,7.89,0.0974,6.94,3,5,1
49.78,258.59,0.1416,6,274.91,1520.6,19.22,13.01,0.0689,4.92,2,7,1
